,,,,,,,,,,,,,,,,,,,,,,,,,
,KODE AKUN,,PROGRAM/KEG/KOUTPUT/SUBOUTPUT/KOMPONEN/SUBKOMP/DETIL,,,VOL,SAT,H SATUAN,PAGU,REALISASI,,,,SALDO,,,,,,,,,,,
,,,,,,,,,,SP2D,%,AKRURAL,%,SP2D,AKRURAL,,,,,,,,,,
,521211,,Belanja Bahan,,,,,,130640000,0,,2143000,,_(* 130640000_),_(* 128497000_),,,,,,,,,,
,,,(KPPN.182-Jakarta VII ),,,,,,,,,,,_(* 0_),_(* 0_),,,,,,,,,,
,,,  - ,ATK Kelas [1 PKT x 12 BLN x 2 ROM],,24,OK,500000,12000000,,,996000,,_(* 12000000_),_(* 11004000_),,,,,,,,,,
,,,  - ,Buku Pegangan Guru [1 PKT x 2 SMT x 1 LOK],,2,OK,2000000,4000000,,,,,_(* 4000000_),_(* 4000000_),,,,,,,,,,
,,,  - ,Buku Penunjang Kegiatan Belajar Mengajar [5 PKT x 2 SMT x 1 LOK],,10,OK,500000,5000000,,,,,_(* 5000000_),_(* 5000000_),,,,,,,,,,
,,,  - ,Penggandaan Soal [25 ORG x 4 KEG x 2 ROM],,200,OK,25000,5000000,,,,,_(* 5000000_),_(* 5000000_),,,,,,,,,,
,,,  - ,Konsumsi Rapat Eksternal [40 ORG x 4 KEG x 2 HR x 1 LOK,,320,OK,53000,16960000,,,,,_(* 16960000_),_(* 16960000_),,,,,,,,,,
,,,  - ,Snack Rapat Eksternal [40 ORG x 4 KEG x 2 HR x 1 LOK,,320,OK,24000,7680000,,,,,_(* 7680000_),_(* 7680000_),,,,,,,,,,
,,,  - ,Media Pembelajaran dan Laporan Perkembangan Siswa [25 ORG x 2 PKT x 2 ROM],,100,OK,800000,80000000,,,1147000,,_(* 80000000_),_(* 78853000_),,,,,,,,,,
,522151,,Belanja Jasa Profesi,,,,,,12000000,0,,0,,_(* 12000000_),_(* 12000000_),,,,,,,,,,
,,,(KPPN.182-Jakarta VII ),,,,,,,,,,,_(* 0_),_(* 0_),,,,,,,,,,
,,,  - ,Honor Instruktur [4 ORG x 2 Jam x 2 ROM],,16,OK,500000,8000000,,,,,_(* 8000000_),_(* 8000000_),,,,,,,,,,
,,,  - ,Honor Narasumber [4 ORG x 2 Jam],,8,OK,500000,4000000,,,,,_(* 4000000_),_(* 4000000_),,,,,,,,,,
,B,,Praktikum Komunitas,,,,,,24400000,0,,0,,_(* 24400000_),_(* 24400000_),,,,,,,,,,
,521211,,Belanja Bahan,,,,,,6400000,0,,0,,_(* 6400000_),_(* 6400000_),,,,,,,,,,
,,,(KPPN.182-Jakarta VII ),,,,,,,,,,,_(* 0_),_(* 0_),,,,,,,,,,
,,,  - ,Snack dan Konsumsi Siswa [25 ORG x 2 keg x 2 Rom],,100,OK,53000,5300000,,,,,_(* 5300000_),_(* 5300000_),,,,,,,,,,
,,,  - ,Dokumentasi Pelaporan [1 KEG x 2 LOK],,2,OK,250000,500000,,,,,_(* 500000_),_(* 500000_),,,,,,,,,,
,,,  - ,Spanduk [1 KEG x 2 LOK],,2,OK,300000,600000,,,,,_(* 600000_),_(* 600000_),,,,,,,,,,
,521213,,Belanja Honor Output Kegiatan,,,,,,2000000,0,,0,,_(* 2000000_),_(* 2000000_),,,,,,,,,,
,,,(KPPN.182-Jakarta VII ),,,,,,,,,,,_(* 0_),_(* 0_),,,,,,,,,,
,,,  - ,Honor Pemandu Praktikum [2 ORG x 2 KEG],,4,OK,500000,2000000,,,,,_(* 2000000_),_(* 2000000_),,,,,,,,,,
,522141,,Belanja Sewa,,,,,,16000000,0,,0,,_(* 16000000_),_(* 16000000_),,,,,,,,,,
,,,(KPPN.182-Jakarta VII ),,,,,,,,,,,_(* 0_),_(* 0_),,,,,,,,,,
,,,  - ,Sewa Bus [1 UNIT x 2 keg x 2 ROm],,4,OK,4000000,16000000,,,,,_(* 16000000_),_(* 16000000_),,,,,,,,,,
,C,,Kegiatan Krida,,,,,,56050000,0,,0,,_(* 56050000_),_(* 56050000_),,,,,,,,,,
,521211,,Belanja Bahan,,,,,,38050000,0,,0,,_(* 38050000_),_(* 38050000_),,,,,,,,,,
